_redis_id,timestamp,timestamp_iso,timestamp_unix_ms,tank_level_value,tank_input_valve_state,tank_output_valve_state,bottle_level_value,bottle_distance_to_filler_value,conveyor_belt_engine_state,tank_output_flow_value,tank_input_flow_value,plc1_mode,plc2_mode,tank_pressure,supply_pressure,tank_input_valve_position,tank_output_valve_position,_validation
1780441366293-0,1780441366.2928965,2026-06-02 23:02:46,1780441366292.0,473.90000000000396,0.0,0.0,0.0,118.0,1.0,0.0,0.0,1.0,1.0,0.046442200000000385,2.5,0.0,0.0,"{""valid"": true, ""error_count"": 0, ""schema_version"": ""1.0""}"
1780441366496-0,1780441366.4961388,2026-06-02 23:02:46,1780441366496.0,473.90000000000396,0.0,0.0,0.0,118.0,1.0,0.0,0.0,1.0,1.0,0.046442200000000385,2.5,0.0,0.0,"{""valid"": true, ""error_count"": 0, ""schema_version"": ""1.0""}"
1780441366698-0,1780441366.698489,2026-06-02 23:02:46,1780441366698.0,473.90000000000396,0.0,0.0,0.0,114.0,1.0,0.0,0.0,1.0,1.0,0.046442200000000385,2.5,0.0,0.0,"{""valid"": true, ""error_count"": 0, ""schema_version"": ""1.0""}"
1780441366901-0,1780441366.9009354,2026-06-02 23:02:46,1780441366901.0,473.90000000000396,0.0,0.0,0.0,114.0,1.0,0.0,0.0,1.0,1.0,0.046442200000000385,2.5,0.0,0.0,"{""valid"": true, ""error_count"": 0, ""schema_version"": ""1.0""}"
1780441367103-0,1780441367.103486,2026-06-02 23:02:47,1780441367103.0,473.90000000000396,0.0,0.0,0.0,114.0,1.0,0.0,0.0,1.0,1.0,0.046442200000000385,2.5,0.0,0.0,"{""valid"": true, ""error_count"": 0, ""schema_version"": ""1.0""}"
1780441367306-0,1780441367.3060465,2026-06-02 23:02:47,1780441367306.0,473.90000000000396,0.0,0.0,0.0,110.0,1.0,0.0,0.0,1.0,1.0,0.046442200000000385,2.5,0.0,0.0,"{""valid"": true, ""error_count"": 0, ""schema_version"": ""1.0""}"
1780441367509-0,1780441367.5088603,2026-06-02 23:02:47,1780441367508.0,473.90000000000396,0.0,0.0,0.0,110.0,1.0,0.0,0.0,1.0,1.0,0.046442200000000385,2.5,0.0,0.0,"{""valid"": true, ""error_count"": 0, ""schema_version"": ""1.0""}"
1780441367711-0,1780441367.711274,2026-06-02 23:02:47,1780441367711.0,473.90000000000396,0.0,0.0,0.0,110.0,1.0,0.0,0.0,1.0,1.0,0.046442200000000385,2.5,0.0,0.0,"{""valid"": true, ""error_count"": 0, ""schema_version"": ""1.0""}"
1780441367921-0,1780441367.9137907,2026-06-02 23:02:47,1780441367913.0,473.90000000000396,0.0,0.0,0.0,106.0,1.0,0.0,0.0,1.0,1.0,0.046442200000000385,2.5,0.0,0.0,"{""valid"": true, ""error_count"": 0, ""schema_version"": ""1.0""}"
1780441368123-0,1780441368.1230948,2026-06-02 23:02:48,1780441368123.0,473.90000000000396,0.0,0.0,0.0,106.0,1.0,0.0,0.0,1.0,1.0,0.046442200000000385,2.5,0.0,0.0,"{""valid"": true, ""error_count"": 0, ""schema_version"": ""1.0""}"
1780441368325-0,1780441368.3255737,2026-06-02 23:02:48,1780441368325.0,473.90000000000396,0.0,0.0,0.0,106.0,1.0,0.0,0.0,1.0,1.0,0.046442200000000385,2.5,0.0,0.0,"{""valid"": true, ""error_count"": 0, ""schema_version"": ""1.0""}"
1780441368528-0,1780441368.5284712,2026-06-02 23:02:48,1780441368528.0,473.90000000000396,0.0,0.0,0.0,102.0,1.0,0.0,0.0,1.0,1.0,0.046442200000000385,2.5,0.0,0.0,"{""valid"": true, ""error_count"": 0, ""schema_version"": ""1.0""}"
1780441368730-0,1780441368.730308,2026-06-02 23:02:48,1780441368730.0,473.90000000000396,0.0,0.0,0.0,102.0,1.0,0.0,0.0,1.0,1.0,0.046442200000000385,2.5,0.0,0.0,"{""valid"": true, ""error_count"": 0, ""schema_version"": ""1.0""}"
1780441368932-0,1780441368.932008,2026-06-02 23:02:48,1780441368932.0,473.90000000000396,0.0,0.0,0.0,102.0,1.0,0.0,0.0,1.0,1.0,0.046442200000000385,2.5,0.0,0.0,"{""valid"": true, ""error_count"": 0, ""schema_version"": ""1.0""}"
1780441369134-0,1780441369.134303,2026-06-02 23:02:49,1780441369134.0,473.90000000000396,0.0,0.0,0.0,98.0,1.0,0.0,0.0,1.0,1.0,0.046442200000000385,2.5,0.0,0.0,"{""valid"": true, ""error_count"": 0, ""schema_version"": ""1.0""}"
1780441369336-0,1780441369.3361201,2026-06-02 23:02:49,1780441369336.0,473.90000000000396,0.0,0.0,0.0,98.0,1.0,0.0,0.0,1.0,1.0,0.046442200000000385,2.5,0.0,0.0,"{""valid"": true, ""error_count"": 0, ""schema_version"": ""1.0""}"
1780441369538-0,1780441369.5386844,2026-06-02 23:02:49,1780441369538.0,473.90000000000396,0.0,0.0,0.0,98.0,1.0,0.0,0.0,1.0,1.0,0.046442200000000385,2.5,0.0,0.0,"{""valid"": true, ""error_count"": 0, ""schema_version"": ""1.0""}"
1780441369741-0,1780441369.7409563,2026-06-02 23:02:49,1780441369740.0,473.90000000000396,0.0,0.0,0.0,94.0,1.0,0.0,0.0,1.0,1.0,0.046442200000000385,2.5,0.0,0.0,"{""valid"": true, ""error_count"": 0, ""schema_version"": ""1.0""}"
1780441369942-0,1780441369.9426923,2026-06-02 23:02:49,1780441369942.0,473.90000000000396,0.0,0.0,0.0,94.0,1.0,0.0,0.0,1.0,1.0,0.046442200000000385,2.5,0.0,0.0,"{""valid"": true, ""error_count"": 0, ""schema_version"": ""1.0""}"
1780441370145-0,1780441370.1447773,2026-06-02 23:02:50,1780441370144.0,473.90000000000396,0.0,0.0,0.0,94.0,1.0,0.0,0.0,1.0,1.0,0.046442200000000385,2.5,0.0,0.0,"{""valid"": true, ""error_count"": 0, ""schema_version"": ""1.0""}"
1780441370347-0,1780441370.3469763,2026-06-02 23:02:50,1780441370346.0,473.90000000000396,0.0,0.0,0.0,90.0,1.0,0.0,0.0,1.0,1.0,0.046442200000000385,2.5,0.0,0.0,"{""valid"": true, ""error_count"": 0, ""schema_version"": ""1.0""}"
1780441370549-0,1780441370.5494447,2026-06-02 23:02:50,1780441370549.0,473.90000000000396,0.0,0.0,0.0,90.0,1.0,0.0,0.0,1.0,1.0,0.046442200000000385,2.5,0.0,0.0,"{""valid"": true, ""error_count"": 0, ""schema_version"": ""1.0""}"
1780441370752-0,1780441370.751757,2026-06-02 23:02:50,1780441370751.0,473.90000000000396,0.0,0.0,0.0,90.0,1.0,0.0,0.0,1.0,1.0,0.046442200000000385,2.5,0.0,0.0,"{""valid"": true, ""error_count"": 0, ""schema_version"": ""1.0""}"
1780441370954-0,1780441370.9537635,2026-06-02 23:02:50,1780441370953.0,473.90000000000396,0.0,0.0,0.0,86.0,1.0,0.0,0.0,1.0,1.0,0.046442200000000385,2.5,0.0,0.0,"{""valid"": true, ""error_count"": 0, ""schema_version"": ""1.0""}"
1780441371156-0,1780441371.1559684,2026-06-02 23:02:51,1780441371155.0,473.90000000000396,0.0,0.0,0.0,86.0,1.0,0.0,0.0,1.0,1.0,0.046442200000000385,2.5,0.0,0.0,"{""valid"": true, ""error_count"": 0, ""schema_version"": ""1.0""}"
1780441371359-0,1780441371.3587186,2026-06-02 23:02:51,1780441371358.0,473.90000000000396,0.0,0.0,0.0,86.0,1.0,0.0,0.0,1.0,1.0,0.046442200000000385,2.5,0.0,0.0,"{""valid"": true, ""error_count"": 0, ""schema_version"": ""1.0""}"
1780441371561-0,1780441371.561038,2026-06-02 23:02:51,1780441371561.0,473.90000000000396,0.0,0.0,0.0,82.0,1.0,0.0,0.0,1.0,1.0,0.046442200000000385,2.5,0.0,0.0,"{""valid"": true, ""error_count"": 0, ""schema_version"": ""1.0""}"
1780441371763-0,1780441371.7631137,2026-06-02 23:02:51,1780441371763.0,473.90000000000396,0.0,0.0,0.0,82.0,1.0,0.0,0.0,1.0,1.0,0.046442200000000385,2.5,0.0,0.0,"{""valid"": true, ""error_count"": 0, ""schema_version"": ""1.0""}"
1780441371966-0,1780441371.9658778,2026-06-02 23:02:51,1780441371965.0,473.90000000000396,0.0,0.0,0.0,82.0,1.0,0.0,0.0,1.0,1.0,0.046442200000000385,2.5,0.0,0.0,"{""valid"": true, ""error_count"": 0, ""schema_version"": ""1.0""}"
1780441372168-0,1780441372.168142,2026-06-02 23:02:52,1780441372168.0,473.90000000000396,0.0,0.0,0.0,78.0,1.0,0.0,0.0,1.0,1.0,0.046442200000000385,2.5,0.0,0.0,"{""valid"": true, ""error_count"": 0, ""schema_version"": ""1.0""}"
1780441372370-0,1780441372.370271,2026-06-02 23:02:52,1780441372370.0,473.90000000000396,0.0,0.0,0.0,78.0,1.0,0.0,0.0,1.0,1.0,0.046442200000000385,2.5,0.0,0.0,"{""valid"": true, ""error_count"": 0, ""schema_version"": ""1.0""}"
1780441372573-0,1780441372.5729067,2026-06-02 23:02:52,1780441372572.0,473.90000000000396,0.0,0.0,0.0,74.0,1.0,0.0,0.0,1.0,1.0,0.046442200000000385,2.5,0.0,0.0,"{""valid"": true, ""error_count"": 0, ""schema_version"": ""1.0""}"
1780441372775-0,1780441372.7750123,2026-06-02 23:02:52,1780441372775.0,473.90000000000396,0.0,0.0,0.0,74.0,1.0,0.0,0.0,1.0,1.0,0.046442200000000385,2.5,0.0,0.0,"{""valid"": true, ""error_count"": 0, ""schema_version"": ""1.0""}"
1780441372977-0,1780441372.9774356,2026-06-02 23:02:52,1780441372977.0,473.90000000000396,0.0,0.0,0.0,74.0,1.0,0.0,0.0,1.0,1.0,0.046442200000000385,2.5,0.0,0.0,"{""valid"": true, ""error_count"": 0, ""schema_version"": ""1.0""}"
1780441373180-0,1780441373.180355,2026-06-02 23:02:53,1780441373180.0,473.90000000000396,0.0,0.0,0.0,70.0,1.0,0.0,0.0,1.0,1.0,0.046442200000000385,2.5,0.0,0.0,"{""valid"": true, ""error_count"": 0, ""schema_version"": ""1.0""}"
1780441373382-0,1780441373.3827343,2026-06-02 23:02:53,1780441373382.0,473.90000000000396,0.0,0.0,0.0,70.0,1.0,0.0,0.0,1.0,1.0,0.046442200000000385,2.5,0.0,0.0,"{""valid"": true, ""error_count"": 0, ""schema_version"": ""1.0""}"
1780441373585-0,1780441373.5848603,2026-06-02 23:02:53,1780441373584.0,473.90000000000396,0.0,0.0,0.0,70.0,1.0,0.0,0.0,1.0,1.0,0.046442200000000385,2.5,0.0,0.0,"{""valid"": true, ""error_count"": 0, ""schema_version"": ""1.0""}"
1780441373787-0,1780441373.7873154,2026-06-02 23:02:53,1780441373787.0,473.90000000000396,0.0,0.0,0.0,66.0,1.0,0.0,0.0,1.0,1.0,0.046442200000000385,2.5,0.0,0.0,"{""valid"": true, ""error_count"": 0, ""schema_version"": ""1.0""}"
1780441373990-0,1780441373.9899156,2026-06-02 23:02:53,1780441373989.0,473.90000000000396,0.0,0.0,0.0,66.0,1.0,0.0,0.0,1.0,1.0,0.046442200000000385,2.5,0.0,0.0,"{""valid"": true, ""error_count"": 0, ""schema_version"": ""1.0""}"
1780441374192-0,1780441374.1921902,2026-06-02 23:02:54,1780441374192.0,473.90000000000396,0.0,0.0,0.0,66.0,1.0,0.0,0.0,1.0,1.0,0.046442200000000385,2.5,0.0,0.0,"{""valid"": true, ""error_count"": 0, ""schema_version"": ""1.0""}"
1780441374394-0,1780441374.3945518,2026-06-02 23:02:54,1780441374394.0,473.90000000000396,0.0,0.0,0.0,62.0,1.0,0.0,0.0,1.0,1.0,0.046442200000000385,2.5,0.0,0.0,"{""valid"": true, ""error_count"": 0, ""schema_version"": ""1.0""}"
1780441374421-0,1780441374.420841,2026-06-02 23:02:54,1780441374420.0,473.90000000000396,0.0,0.0,0.0,62.0,1.0,0.0,0.0,1.0,1.0,0.046442200000000385,2.5,0.0,0.0,"{""valid"": true, ""error_count"": 0, ""schema_version"": ""1.0""}"
1780441374623-0,1780441374.623259,2026-06-02 23:02:54,1780441374623.0,473.90000000000396,0.0,0.0,0.0,62.0,1.0,0.0,0.0,1.0,1.0,0.046442200000000385,2.5,0.0,0.0,"{""valid"": true, ""error_count"": 0, ""schema_version"": ""1.0""}"
1780441374825-0,1780441374.8251646,2026-06-02 23:02:54,1780441374825.0,473.90000000000396,0.0,0.0,0.0,58.0,1.0,0.0,0.0,1.0,1.0,0.046442200000000385,2.5,0.0,0.0,"{""valid"": true, ""error_count"": 0, ""schema_version"": ""1.0""}"
1780441375027-0,1780441375.0270813,2026-06-02 23:02:55,1780441375027.0,473.90000000000396,0.0,0.0,0.0,58.0,1.0,0.0,0.0,1.0,1.0,0.046442200000000385,2.5,0.0,0.0,"{""valid"": true, ""error_count"": 0, ""schema_version"": ""1.0""}"
1780441375229-0,1780441375.2292895,2026-06-02 23:02:55,1780441375229.0,473.90000000000396,0.0,0.0,0.0,58.0,1.0,0.0,0.0,1.0,1.0,0.046442200000000385,2.5,0.0,0.0,"{""valid"": true, ""error_count"": 0, ""schema_version"": ""1.0""}"
1780441375431-0,1780441375.431678,2026-06-02 23:02:55,1780441375431.0,473.90000000000396,0.0,0.0,0.0,54.0,1.0,0.0,0.0,1.0,1.0,0.046442200000000385,2.5,0.0,0.0,"{""valid"": true, ""error_count"": 0, ""schema_version"": ""1.0""}"
1780441375634-0,1780441375.6342456,2026-06-02 23:02:55,1780441375634.0,473.90000000000396,0.0,0.0,0.0,54.0,1.0,0.0,0.0,1.0,1.0,0.046442200000000385,2.5,0.0,0.0,"{""valid"": true, ""error_count"": 0, ""schema_version"": ""1.0""}"
1780441375836-0,1780441375.8358967,2026-06-02 23:02:55,1780441375835.0,473.90000000000396,0.0,0.0,0.0,54.0,1.0,0.0,0.0,1.0,1.0,0.046442200000000385,2.5,0.0,0.0,"{""valid"": true, ""error_count"": 0, ""schema_version"": ""1.0""}"
1780441376038-0,1780441376.038218,2026-06-02 23:02:56,1780441376038.0,473.90000000000396,0.0,0.0,0.0,50.0,1.0,0.0,0.0,1.0,1.0,0.046442200000000385,2.5,0.0,0.0,"{""valid"": true, ""error_count"": 0, ""schema_version"": ""1.0""}"
1780441376240-0,1780441376.2402375,2026-06-02 23:02:56,1780441376240.0,473.90000000000396,0.0,0.0,0.0,50.0,1.0,0.0,0.0,1.0,1.0,0.046442200000000385,2.5,0.0,0.0,"{""valid"": true, ""error_count"": 0, ""schema_version"": ""1.0""}"
