process_time_seconds,process_time_hms,bottle_distance_to_filler_value,bottle_level_value,conveyor_belt_engine_state,plc1_mode,plc2_mode,supply_pressure,tank_input_flow_value,tank_input_valve_position,tank_input_valve_state,tank_level_value,tank_output_flow_value,tank_output_valve_position,tank_output_valve_state,tank_pressure,label_id
63394.075,17:36:34.075,0.607107107107107,0.0,1,1,1,2.5,0.0,0.0,0,0.9029029029029028,0.0,0.0,0,0.9582131131230784,0
63394.283,17:36:34.283,0.607107107107107,0.0,1,1,1,2.5,0.0,0.0,0,0.9029029029029028,0.0,0.0,0,0.9582131131230784,0
63394.493,17:36:34.493,0.607107107107107,0.0,0,1,1,2.5,0.0,0.0,0,0.9029029029029028,0.0,0.0,0,0.9582131131230784,0
63394.713,17:36:34.713,0.3303303303303303,0.0,0,1,1,2.5,0.0,0.0,0,0.9029029029029028,0.0,0.0,1,0.9582131131230784,0
63394.93,17:36:34.930,0.3303303303303303,0.0,0,1,1,2.5,0.0,0.0,0,0.9029029029029028,0.0,0.05,1,0.9582131131230784,0
63395.16,17:36:35.160,0.3303303303303303,0.0,0,1,1,2.5,0.0,0.0,0,0.9029029029029028,0.0,0.1,1,0.9582131131230784,0
63395.371,17:36:35.371,0.3303303303303303,0.3703703703703703,0,1,1,2.5,0.0,0.0,0,0.9025556806806806,0.9528863024385996,0.15,1,0.9582131131230784,0
63395.583,17:36:35.583,0.3303303303303303,0.3703703703703703,0,1,1,2.5,0.0,0.0,0,0.9025556806806806,0.9595707189182912,0.2249999999999999,1,0.9579146353596716,0
63395.801,17:36:35.801,0.3303303303303303,0.3703703703703703,0,1,1,2.5,0.0,0.0,0,0.9025556806806806,0.9452923147100546,0.2749999999999999,1,0.9579146353596716,0
63396.008,17:36:36.008,0.3303303303303303,0.3873873873873874,0,1,1,2.5,0.0,0.0,0,0.9022084584584584,0.9358759790707708,0.325,1,0.9579146353596716,0
63396.218,17:36:36.218,0.3303303303303303,0.3873873873873874,0,1,1,2.5,0.0,0.0,0,0.9022084584584584,0.9333661815421522,0.375,1,0.957616157596265,0
63396.425,17:36:36.425,0.3303303303303303,0.3873873873873874,0,1,1,2.5,0.0,0.0,0,0.901796958248571,0.9461087921280452,0.4250000000000001,1,0.957616157596265,0
63396.633,17:36:36.633,0.3303303303303303,0.3993993993993994,0,1,1,2.5,0.0,0.0,0,0.901796958248571,0.9446671810306944,0.4750000000000001,1,0.9573176798328584,0
63396.845,17:36:36.845,0.3303303303303303,0.3993993993993994,0,1,1,2.5,0.0,0.0,0,0.901796958248571,0.9475372748855584,0.5250000000000001,1,0.9573176798328584,0
63397.066,17:36:37.066,0.3303303303303303,0.4129129129129129,0,1,1,2.5,0.0,0.0,0,0.9009009009009008,0.9461087921280452,0.5750000000000002,1,0.9573176798328584,0
63397.285,17:36:37.285,0.3303303303303303,0.4129129129129129,0,1,1,2.5,0.0,0.0,0,0.9009009009009008,0.9563359317702972,0.6250000000000002,1,0.9570192020694516,0
63397.494,17:36:37.494,0.3303303303303303,0.4129129129129129,0,1,1,2.5,0.0,0.0,0,0.9009009009009008,0.9743697204305696,0.6750000000000003,1,0.9570192020694516,0
63397.71,17:36:37.710,0.3303303303303303,0.4269269269269269,0,1,1,2.5,0.0,0.0,0,0.9005672339005673,0.9529082769747896,0.7500000000000003,1,0.9570192020694516,0
63397.955,17:36:37.955,0.3303303303303303,0.4269269269269269,0,1,1,2.5,0.0,0.0,0,0.9005672339005673,0.9465410770420684,0.8000000000000004,1,0.9570192020694516,0
63398.172,17:36:38.172,0.3303303303303303,0.4269269269269269,0,1,1,2.5,0.0,0.0,0,0.9005672339005673,0.9485169233548284,0.8500000000000004,1,0.9567207243060452,0
63398.389,17:36:38.389,0.3303303303303303,0.4399399399399399,0,1,1,2.5,0.0,0.0,0,0.9002335669002335,0.9409036223810868,0.9000000000000005,1,0.9567207243060452,0
63398.612,17:36:38.612,0.3303303303303303,0.4399399399399399,0,1,1,2.5,0.0,0.0,0,0.9002335669002335,0.9401938587180942,0.9750000000000004,1,0.9564222465426384,0
63398.823,17:36:38.823,0.3303303303303303,0.4399399399399399,0,1,1,2.5,0.0,0.0,0,0.9002335669002335,0.9461087921280452,1.0,1,0.9564222465426384,0
63399.031,17:36:39.031,0.3303303303303303,0.4539539539539539,0,1,1,2.5,0.0,0.0,0,0.8998998998998999,0.9408706685039214,1.0,1,0.9564222465426384,0
63399.249,17:36:39.249,0.3303303303303303,0.4539539539539539,0,1,1,2.5,0.0,0.0,0,0.8998998998998999,0.9393510450134775,1.0,1,0.956123768779234,0
63399.459,17:36:39.459,0.3303303303303303,0.4664664664664664,0,1,1,2.5,0.0,0.0,0,0.8973973973973974,0.9461087921280452,1.0,1,0.956123768779234,0
63399.676,17:36:39.676,0.3303303303303303,0.4664664664664664,0,1,1,2.5,0.0,0.0,0,0.8973973973973974,0.956672322981828,1.0,1,0.9558252910158272,0
63399.896,17:36:39.896,0.3303303303303303,0.4664664664664664,0,1,1,2.5,0.0,0.0,0,0.8973973973973974,0.9601241781559432,1.0,1,0.9558252910158272,0
63400.115,17:36:40.115,0.3303303303303303,0.47997997997998,0,1,1,2.5,0.0,0.0,0,0.8955561065652807,0.9461087921280452,1.0,1,0.9555268132524206,0
63400.323,17:36:40.323,0.3303303303303303,0.47997997997998,0,1,1,2.5,0.0,0.0,0,0.8955561065652807,0.9430737647136218,1.0,1,0.9555268132524206,0
63400.536,17:36:40.536,0.3303303303303303,0.47997997997998,0,1,1,2.5,0.0,0.0,0,0.8955561065652807,0.920522336792876,1.0,1,0.9555268132524206,0
63400.743,17:36:40.743,0.3303303303303303,0.4908397452382481,0,1,1,2.5,0.0,0.0,0,0.8952163172346655,0.9413194651380632,1.0,1,0.9555268132524206,0
63400.952,17:36:40.952,0.3303303303303303,0.4908397452382481,0,1,1,2.5,0.0,0.0,0,0.8952163172346655,0.944190485114255,1.0,1,0.9555268132524206,0
63401.16,17:36:41.160,0.3303303303303303,0.4908397452382481,0,1,1,2.5,0.0,0.0,0,0.8952163172346655,0.9535050007815038,1.0,1,0.955228335489014,0
63401.369,17:36:41.369,0.3303303303303303,0.507466860027364,0,1,1,2.5,0.0,0.0,0,0.8948771780630185,0.9603892208909968,1.0,1,0.955228335489014,0
63401.582,17:36:41.582,0.3303303303303303,0.507466860027364,0,1,1,2.5,0.0,0.0,0,0.8948771780630185,0.9518092515020894,1.0,1,0.955228335489014,0
63401.798,17:36:41.798,0.3303303303303303,0.507466860027364,0,1,1,2.5,0.0,0.0,0,0.8948771780630185,0.9579560530506672,1.0,1,0.9549298577256072,0
63402.015,17:36:42.015,0.3303303303303303,0.5189402743315198,0,1,1,2.5,0.0,0.0,0,0.8945494166733103,0.932615422255156,1.0,1,0.9549298577256072,0
63402.225,17:36:42.225,0.3303303303303303,0.5189402743315198,0,1,1,2.5,0.0,0.0,0,0.8945494166733103,0.9302509943383276,1.0,1,0.9546313799622008,0
63402.435,17:36:42.435,0.3303303303303303,0.5189402743315198,0,1,1,2.5,0.0,0.0,0,0.894221655283602,0.9461087921280452,1.0,1,0.9546313799622008,0
63402.668,17:36:42.668,0.3303303303303303,0.5296658299838208,0,1,1,2.5,0.0,0.0,0,0.894221655283602,0.9371203927200958,1.0,1,0.9543329021987942,0
63402.877,17:36:42.877,0.3303303303303303,0.5296658299838208,0,1,1,2.5,0.0,0.0,0,0.894221655283602,0.9242935197406096,1.0,1,0.9543329021987942,0
63403.09,17:36:43.090,0.3303303303303303,0.5445122378383018,0,1,1,2.5,0.0,0.0,0,0.8933933933933933,0.9566907482237264,1.0,1,0.9540344244353876,0
63403.303,17:36:43.303,0.3303303303303303,0.5445122378383018,0,1,1,2.5,0.0,0.0,0,0.8933933933933933,0.965455334063783,1.0,1,0.9540344244353876,0
63403.522,17:36:43.522,0.3303303303303303,0.5445122378383018,0,1,1,2.5,0.0,0.0,0,0.8933933933933933,0.9434616839154388,1.0,1,0.9540344244353876,0
63403.734,17:36:43.734,0.3303303303303303,0.5581796753477419,0,1,1,2.5,0.0,0.0,0,0.8925561925561927,0.9553176576592244,1.0,1,0.9540344244353876,0
63403.952,17:36:43.952,0.3303303303303303,0.5581796753477419,0,1,1,2.5,0.0,0.0,0,0.8925561925561927,0.9689607350572662,1.0,1,0.9540344244353876,0
